Company,Sector,Year,Revenue (Cr),Net Profit (Cr),EBITDA Margin (%),Debt/Equity,EPS,P/E Ratio,Market Cap (Cr)
Reliance,Finance,2015,1794.03,114.86,22.53,1.23,32.87,17.3,57777.7
Reliance,Metals,2020,,170.51,17.57,0.7,22.21,17.42,53083.3
Axis Bank,IT,2014,1647.84,245.58,18.0,0.87,39.29,16.49,45399.82
HDFC,Energy,2018,1304.91,316.06,22.5,0.48,24.1,15.73,23939.05
Reliance,IT,2017,1999.4,182.69,28.95,0.72,37.11,18.4,41809.32
Wipro,Energy,2018,842.41,,15.78,0.63,30.81,26.49,9276.44
Tata Steel,Finance,2019,1295.02,191.46,13.62,0.95,21.61,12.41,5557.84
TCS,Finance,2016,1851.5,272.36,13.05,0.59,29.98,20.08,23084.77
TCS,Automobile,2018,1388.97,290.35,20.38,0.55,30.39,34.78,18330.86
SBI,Automobile,2012,1978.94,,12.55,0.92,33.01,15.3,6421.09
Mahindra,Energy,2018,1046.46,209.2,16.13,0.78,41.28,19.89,49442.15
HDFC,Energy,2011,1166.37,85.26,16.57,0.59,47.12,25.89,21412.67
Mahindra,Finance,2018,1340.51,270.74,25.78,0.55,29.11,35.29,35582.27
Reliance,Metals,2022,1625.22,233.79,23.96,0.59,5.92,30.86,63766.41
Tata Steel,Energy,2015,1433.39,126.31,10.32,1.04,33.77,19.02,28654.43
SBI,Energy,2013,1352.88,322.73,25.92,0.93,22.39,22.75,14578.71
ICICI,Metals,2021,1926.12,226.8,11.92,0.57,8.09,18.54,52400.72
Reliance,Automobile,2023,1954.03,218.02,18.8,0.59,31.91,27.65,28239.56
HDFC,Automobile,2021,1375.69,185.67,13.83,0.46,29.39,19.16,40184.43
TCS,Energy,2022,987.07,199.36,16.06,0.68,16.94,31.92,-2642.9
Axis Bank,Automobile,2020,,169.48,13.1,0.84,13.14,6.49,33562.1
Tata Steel,Automobile,2011,1571.79,140.7,26.38,0.54,38.96,24.29,29261.47
Infosys,Automobile,2022,1696.79,298.33,17.3,1.46,30.06,25.23,25594.56
Mahindra,Finance,2019,1518.9,160.58,19.13,0.99,17.09,2.37,41618.99
SBI,IT,2012,1478.73,157.89,12.64,0.79,31.63,8.56,21916.39
Mahindra,Energy,2014,1258.64,189.66,10.92,0.83,20.8,29.2,26658.21
Tata Steel,Energy,2018,1696.49,313.96,15.78,0.38,30.45,23.63,31251.28
Mahindra,Finance,2016,2003.46,290.49,20.61,0.44,28.14,25.54,40403.95
Tata Steel,IT,2020,834.94,168.41,17.39,1.2,-0.64,31.75,27025.66
Mahindra,IT,2021,1476.75,298.14,22.87,1.29,26.08,17.58,28111.2
Wipro,Finance,2022,1208.9,208.65,18.62,0.14,23.33,31.7,28012.46
ICICI,Metals,2020,1052.86,132.53,18.03,0.94,17.6,40.48,27944.0
Reliance,Metals,2012,1161.01,161.91,20.68,1.21,12.36,28.86,14186.98
Reliance,IT,2022,1613.9,309.86,18.5,0.7,22.82,23.03,39098.55
HDFC,Metals,2013,1621.49,366.63,22.72,1.26,21.47,19.61,39912.66
Infosys,Metals,2023,1938.09,225.59,20.78,1.03,31.51,21.47,10496.21
Infosys,Metals,2021,1502.63,154.68,,0.94,23.55,21.23,24574.65
HDFC,IT,2020,972.53,190.01,21.58,0.73,25.89,20.19,45873.52
Axis Bank,Metals,2011,1428.55,139.0,24.8,0.83,28.27,12.29,31272.83
Reliance,Energy,2023,1084.09,150.66,22.14,0.67,20.36,22.98,26149.1
Axis Bank,IT,2017,1137.96,142.8,26.74,0.89,15.04,21.63,16624.15
Tata Steel,Finance,2015,1674.17,193.65,15.29,0.88,47.13,29.56,45102.67
Tata Steel,Metals,2012,1558.25,209.65,22.17,0.67,24.22,24.0,21584.9
TCS,Automobile,2022,1676.27,188.15,11.1,0.22,22.9,14.88,38242.49
Mahindra,IT,2014,1392.75,182.29,22.74,0.74,39.13,12.33,53054.67
Infosys,Finance,2014,1737.16,260.84,18.28,0.49,43.87,19.96,31479.3
TCS,Energy,2021,1375.98,181.66,22.68,0.46,39.46,13.92,47067.64
ICICI,Finance,2010,1835.0,186.8,26.4,0.59,21.1,21.01,35604.8
HDFC,Metals,2022,1603.39,185.88,22.01,1.05,28.47,15.26,42123.36
HDFC,Automobile,2014,1437.9,323.46,15.94,0.47,30.85,28.94,26990.45
Tata Steel,Metals,2015,1563.63,160.7,12.56,0.53,47.37,24.1,19441.88
Reliance,Finance,2019,1494.64,247.7,20.68,1.01,29.2,26.95,24455.59
Axis Bank,IT,2019,1978.83,,16.57,0.57,29.65,18.85,25742.39
Infosys,Automobile,2020,1573.63,228.0,21.32,0.46,14.87,21.39,33232.29
TCS,Automobile,2020,1499.52,,15.47,1.04,12.45,26.42,38557.52
Axis Bank,Finance,2020,1428.45,286.74,13.35,0.76,38.54,22.56,11398.93
TCS,Metals,2022,1752.96,169.26,16.79,0.82,28.46,24.96,31932.9
Mahindra,Finance,2011,1712.37,110.88,20.5,0.73,29.47,15.23,33786.66
ICICI,Automobile,2012,1417.85,137.28,18.61,0.93,35.74,26.0,30629.08
ICICI,Finance,2019,1153.31,277.16,13.93,1.01,33.52,15.91,17478.66
Axis Bank,Automobile,2014,1229.41,366.54,27.0,0.76,32.22,34.6,34952.14
Axis Bank,Metals,2023,1444.75,266.76,,0.35,31.36,21.36,34487.97
Axis Bank,IT,2022,1904.68,99.03,6.69,0.89,26.39,27.73,39924.96
TCS,IT,2012,1424.95,264.05,22.66,0.7,27.09,16.91,27354.76
Mahindra,Finance,2014,1321.76,124.5,17.94,1.06,34.16,18.5,33620.91
Wipro,Automobile,2014,971.78,172.07,17.15,0.53,15.62,18.16,36750.18
Axis Bank,IT,2017,1954.06,214.98,17.05,0.71,14.5,7.68,30569.92
Reliance,Automobile,2019,1670.71,228.43,17.08,0.36,25.82,1.54,13961.92
Infosys,Metals,2018,1738.8,205.24,26.34,1.03,26.49,17.98,2800.65
Infosys,Finance,2017,1788.51,151.91,20.32,1.17,32.24,6.78,20257.43
TCS,Automobile,2021,1450.58,284.8,19.3,0.65,22.78,22.0,9534.85
Axis Bank,Finance,2012,1525.38,157.79,16.69,0.74,17.22,18.89,33028.15
Tata Steel,Automobile,2010,1946.58,300.36,26.64,0.56,31.02,0.27,17749.45
HDFC,Automobile,2023,1553.87,91.25,22.21,0.59,38.47,16.27,22133.56
Wipro,Metals,2012,1676.26,217.24,22.95,1.01,28.65,19.83,51255.3
Reliance,Finance,2010,1761.17,101.91,19.39,0.65,10.46,29.88,25266.91
Mahindra,Energy,2022,1692.88,133.27,23.0,0.94,27.76,16.8,44243.08
Tata Steel,Automobile,2020,1461.55,158.96,19.97,0.8,5.69,8.51,30472.34
ICICI,Automobile,2018,1489.83,321.65,16.14,1.03,24.59,7.61,12751.88
Tata Steel,IT,2021,1733.29,304.64,19.85,0.68,4.9,16.35,29503.65
TCS,Finance,2022,1732.8,269.94,28.49,1.13,20.7,13.1,2179.7
Wipro,Energy,2012,1850.47,202.66,19.02,1.36,30.11,18.55,32640.83
SBI,Metals,2023,1665.33,215.04,24.35,0.29,22.15,21.19,18781.14
SBI,Energy,2017,1678.98,301.32,23.96,0.77,36.49,23.76,29769.12
Axis Bank,Metals,2015,1366.13,256.1,20.81,0.77,27.19,23.96,22130.8
Axis Bank,Energy,2012,1325.66,201.44,26.28,0.59,13.76,15.8,44210.04
TCS,Energy,2018,1734.19,318.93,7.14,0.92,34.01,24.41,30516.04
Mahindra,Finance,2017,1327.74,265.16,8.82,1.14,31.89,9.31,26235.42
Axis Bank,IT,2012,1493.79,219.39,26.64,0.21,37.74,20.96,24078.62
HDFC,Energy,2016,1913.71,163.28,14.76,0.19,32.1,21.49,32546.93
Wipro,Automobile,2014,1866.17,156.06,18.56,1.3,29.7,20.88,25479.99
TCS,Automobile,2011,1590.54,173.11,26.75,0.73,15.07,12.74,2242.35
Infosys,Automobile,2023,1411.16,236.56,19.0,0.83,33.13,13.51,23468.64
ICICI,IT,2017,1462.99,266.86,26.45,0.48,23.54,24.53,30038.22
TCS,Energy,2010,1760.3,84.46,16.06,0.81,33.06,17.07,20943.59
TCS,Metals,2013,1489.05,44.27,21.08,1.21,47.3,24.13,32962.41
SBI,Metals,2020,1332.52,123.88,18.29,0.95,37.07,15.74,31289.4
Reliance,Finance,2022,,167.39,25.45,0.86,27.85,39.97,3670.94
Mahindra,IT,2020,1554.48,295.68,16.69,0.27,25.73,18.04,21478.07
Reliance,Energy,2021,1326.82,177.57,13.18,1.02,20.82,28.36,45872.94
HDFC,Automobile,2022,1643.68,220.38,15.66,0.8,1.77,36.64,36419.65
Infosys,IT,2013,1791.37,233.43,15.88,0.62,25.46,27.77,37551.83
SBI,IT,2022,1197.7,118.11,14.76,0.99,19.86,17.53,41690.8
Infosys,Energy,2019,1439.86,316.79,14.56,0.55,28.22,19.32,27059.16
HDFC,Finance,2023,1425.99,146.82,23.61,0.97,19.84,-3.15,23248.55
Reliance,Finance,2014,1635.69,324.78,25.04,1.17,27.21,3.61,40139.14
TCS,Finance,2013,1689.6,189.91,19.96,0.85,37.46,19.88,43370.92
Axis Bank,Automobile,2010,,173.0,14.76,0.67,26.57,15.93,44813.82
Axis Bank,Automobile,2023,1052.17,111.14,15.08,0.63,14.14,12.17,22335.13
Tata Steel,Energy,2016,1809.54,215.78,7.64,0.91,16.69,20.24,37883.79
ICICI,Finance,2019,1164.02,380.35,19.9,0.67,31.91,15.88,28620.93
Mahindra,Energy,2020,1581.36,233.09,14.59,1.51,32.53,13.2,38480.78
HDFC,Finance,2011,1460.41,221.63,25.36,0.38,16.28,27.03,28900.3
ICICI,IT,2019,1548.73,146.67,11.11,0.76,24.71,10.97,29685.35
Mahindra,Metals,2012,1995.37,247.36,15.04,0.88,34.05,24.88,39583.26
ICICI,Metals,2014,2411.48,212.61,17.52,0.85,42.21,21.68,26052.23
Reliance,Finance,2017,1009.97,194.97,20.33,0.63,26.76,29.56,25523.02
Mahindra,Energy,2019,1795.17,239.58,27.01,1.17,23.01,16.68,42740.8
Reliance,Automobile,2017,1453.13,54.73,11.15,1.0,21.3,10.58,34933.3
TCS,Finance,2023,1814.36,191.96,16.49,1.02,26.43,15.56,18170.69
SBI,Finance,2011,1787.18,104.24,10.86,0.6,38.89,19.71,43941.4
Reliance,Automobile,2018,1922.92,202.31,21.95,0.68,26.45,26.91,47494.61
Axis Bank,Finance,2015,1585.49,142.06,14.77,0.95,30.0,25.64,33567.5
ICICI,IT,2018,1233.13,147.53,17.48,0.47,10.78,18.48,26157.54
Tata Steel,Automobile,2023,1778.29,93.32,17.14,1.0,40.94,19.46,49353.48
Wipro,IT,2013,1535.4,289.25,18.58,0.77,38.37,24.88,48557.96
Mahindra,Metals,2012,1429.85,145.78,17.22,1.12,22.04,27.39,19377.97
HDFC,Automobile,2023,1357.13,150.06,13.14,0.67,23.96,22.29,26831.68
Tata Steel,Automobile,2023,1801.9,322.45,18.42,1.34,36.79,22.02,29352.8
Axis Bank,Energy,2014,1981.01,245.44,14.03,0.92,54.45,21.67,49685.62
Reliance,Energy,2014,1141.39,37.23,22.07,0.96,8.15,21.88,40701.3
SBI,Automobile,2013,1686.59,310.83,18.29,0.59,19.89,21.89,26134.54
TCS,Metals,2022,1388.28,331.83,12.8,0.88,21.06,13.02,29943.62
Wipro,Finance,2016,1059.82,324.35,30.03,0.64,35.41,8.67,28694.58
Infosys,Energy,2017,1544.31,253.46,26.29,0.34,28.54,13.86,20852.02
Tata Steel,Metals,2014,1250.06,111.86,30.22,0.74,19.88,16.75,36234.23
SBI,Metals,2018,1026.67,196.06,16.29,1.15,10.84,24.6,35440.22
Infosys,Energy,2016,1265.48,84.12,13.82,0.78,35.11,18.1,37105.18
Wipro,Finance,2022,1191.67,130.72,22.03,0.71,23.0,21.42,32676.86
HDFC,Energy,2022,1305.99,111.13,23.54,0.71,13.42,20.49,16970.08
HDFC,Metals,2016,1102.23,149.84,18.98,1.47,18.18,23.47,22382.14
ICICI,IT,2017,1381.46,213.12,7.48,0.98,20.75,17.0,30761.55
Wipro,Energy,2021,1286.03,164.41,13.09,0.32,22.0,14.92,40795.99
Wipro,Metals,2013,1612.68,160.97,20.11,0.64,14.55,8.47,33377.58
Infosys,Energy,2019,1678.06,176.73,14.7,0.68,14.68,22.33,15234.47
SBI,Metals,2022,1578.04,319.96,11.17,0.58,48.7,-0.95,5730.34
Mahindra,Finance,2022,1429.37,373.1,16.71,0.82,28.3,21.14,29547.05
Infosys,Metals,2015,1421.27,163.94,1.77,0.63,20.89,26.22,34915.75
TCS,Automobile,2014,1248.88,226.89,14.98,0.65,28.78,18.95,39502.88
HDFC,IT,2010,1256.1,132.7,15.87,0.85,26.61,22.56,51033.27
HDFC,Metals,2023,1711.08,261.41,19.55,0.34,15.93,16.98,43484.75
ICICI,Energy,2022,972.09,161.88,20.74,0.15,5.85,19.96,37398.99
TCS,Energy,2018,1475.78,143.11,19.89,1.17,19.69,18.87,23544.81
HDFC,Metals,2011,1402.94,360.13,22.49,1.05,23.17,24.86,47321.26
Infosys,Automobile,2015,1679.74,91.51,17.16,0.91,23.9,18.01,17004.15
TCS,Metals,2017,1072.5,3.77,10.72,0.89,6.69,11.68,43140.04
Infosys,Finance,2012,1503.74,258.79,18.22,0.74,49.8,22.29,52616.08
Mahindra,Automobile,2014,1602.9,170.59,13.62,1.7,49.03,19.11,46798.31
Mahindra,Metals,2023,928.58,148.32,11.22,0.86,29.45,15.12,25330.35
HDFC,IT,2016,1177.7,418.53,20.9,1.58,25.25,24.52,10265.82
HDFC,Automobile,2013,1472.46,258.42,10.94,1.42,19.35,33.98,21015.55
SBI,Metals,2023,1654.24,195.32,21.4,0.94,30.79,23.3,30551.32
Mahindra,IT,2021,1554.75,143.37,11.54,0.74,23.83,25.58,26653.39
Tata Steel,Metals,2014,1668.14,235.66,16.55,0.8,37.52,21.06,32892.5
Tata Steel,Finance,2010,1176.19,61.37,15.18,0.68,34.14,30.01,8245.55
ICICI,Energy,2013,1023.37,158.71,23.68,0.94,16.49,24.57,39524.44
Mahindra,Metals,2023,1525.35,197.03,20.97,1.0,18.12,16.1,22525.72
Infosys,Automobile,2023,1131.19,217.08,13.88,0.43,34.7,24.18,29990.12
Infosys,Metals,2016,1240.4,188.61,17.21,1.58,31.95,23.02,24267.6
Axis Bank,Metals,2021,1779.68,144.54,24.65,0.57,13.87,17.23,38991.34
TCS,Metals,2019,1556.73,273.65,25.47,-0.01,20.43,28.7,23203.81
Reliance,Metals,2016,1329.56,67.87,11.16,0.78,23.46,11.15,9432.55
Tata Steel,Automobile,2019,1290.59,177.77,24.58,0.46,24.63,22.6,36722.48
HDFC,Automobile,2019,1686.28,158.57,24.2,0.78,24.28,16.98,10904.9
ICICI,Metals,2013,1563.59,280.95,18.89,0.82,33.99,8.76,27905.32
Reliance,Energy,2021,1135.63,163.29,17.55,0.93,26.46,20.82,43076.89
Wipro,Metals,2015,915.65,235.01,15.25,1.1,25.81,17.1,36901.29
ICICI,Automobile,2022,2064.54,226.64,11.73,0.5,17.43,15.91,30338.37
Wipro,Finance,2014,1133.26,53.19,19.69,0.69,26.68,12.58,30822.2
Mahindra,Metals,2010,1658.31,194.75,17.15,1.0,24.71,34.07,17399.17
Wipro,Metals,2017,1953.21,60.58,20.17,0.6,20.2,2.78,34913.18
Wipro,Metals,2021,1544.28,228.1,20.29,0.24,13.49,4.87,35919.16
SBI,Metals,2016,1319.87,141.57,30.59,0.99,37.77,23.66,32538.39
SBI,IT,2014,1072.19,294.93,23.98,0.63,42.8,23.24,30119.19
SBI,Metals,2022,1068.0,185.54,20.73,0.61,27.45,10.27,28286.99
Mahindra,Automobile,2019,1613.01,138.4,7.32,0.84,39.35,15.81,39487.7
Reliance,Automobile,2019,1935.29,295.99,19.96,0.8,27.3,24.39,22635.89
ICICI,IT,2016,1381.36,130.25,25.91,1.1,11.13,18.07,13890.72
ICICI,Metals,2019,1333.28,271.58,15.87,0.43,28.0,25.57,40857.57
HDFC,Energy,2012,1709.24,237.4,28.95,1.48,21.6,19.68,14159.62
SBI,Metals,2017,1294.22,170.77,20.72,0.38,29.76,16.35,21101.88
Mahindra,Automobile,2014,1582.34,93.12,19.47,0.68,40.71,9.8,35093.71
HDFC,Finance,2011,1512.54,299.33,13.05,0.54,19.93,19.54,33985.25
TCS,Finance,2011,1377.16,240.04,25.52,0.82,28.88,15.51,28050.71
HDFC,Energy,2013,1495.34,138.24,13.85,0.81,33.61,26.97,46891.57
Reliance,Metals,2016,2028.95,219.57,15.18,0.85,38.54,26.69,41703.05
Tata Steel,IT,2023,1681.36,280.49,8.59,0.88,34.86,18.28,28723.69
Wipro,Metals,2019,1827.75,208.96,22.48,1.19,13.85,19.75,23259.64
SBI,Energy,2013,,219.07,20.94,0.85,13.84,17.4,33190.93
Tata Steel,Energy,2018,1828.78,282.56,18.05,1.22,32.65,16.28,32263.74
HDFC,Energy,2011,1691.71,322.98,21.7,0.27,21.15,12.51,44251.37
Mahindra,Finance,2015,1050.12,190.43,21.23,0.14,15.16,20.47,27625.5
Wipro,Metals,2013,1661.94,93.0,16.17,0.84,36.88,17.97,42310.23
ICICI,Metals,2015,1346.02,95.79,14.08,0.9,21.3,30.43,14013.03
Infosys,IT,2019,1036.26,144.72,9.42,0.64,41.3,17.53,34221.37
Wipro,Energy,2018,1538.93,125.21,17.11,0.8,20.6,36.84,21495.99
Reliance,Energy,2019,1661.71,65.4,11.46,1.12,17.53,32.65,30073.91
Reliance,Automobile,2021,1545.48,347.83,18.81,1.0,24.36,14.96,27365.49
HDFC,Automobile,2018,1467.26,242.25,17.2,0.7,32.58,19.47,16678.9
TCS,Finance,2018,1400.82,158.1,15.99,0.86,27.93,9.13,21179.13
Reliance,Metals,2018,2239.98,197.4,23.23,1.03,43.92,17.06,24443.45
Reliance,IT,2012,1145.23,57.09,13.07,0.43,26.72,22.62,50941.5
Mahindra,IT,2021,1761.88,292.59,8.76,0.56,23.23,21.44,23596.79
HDFC,Energy,2020,1504.63,44.03,16.87,1.08,40.09,14.34,7244.99
Wipro,IT,2023,1243.66,240.8,14.3,0.28,30.95,19.46,21112.64
TCS,Energy,2018,1485.48,52.93,18.61,0.47,20.86,23.5,8849.66
Tata Steel,Metals,2012,1082.12,166.88,13.43,0.44,27.39,19.11,17469.35
Infosys,IT,2019,1321.35,299.42,20.1,1.08,27.18,29.44,749.59
SBI,Energy,2012,1485.92,69.28,13.14,0.47,22.95,19.37,22542.31
ICICI,Metals,2014,1034.66,188.1,13.08,1.04,26.82,8.89,34478.7
Reliance,Metals,2015,1651.91,250.22,21.08,0.69,12.12,8.79,25043.94
HDFC,Energy,2018,1210.87,237.13,17.77,1.33,21.44,17.37,25681.41
SBI,Energy,2010,1064.48,205.61,12.06,0.84,29.31,11.67,60633.45
ICICI,Finance,2017,1175.87,239.66,13.24,1.12,19.72,8.67,22770.12
ICICI,Metals,2023,2152.79,151.13,16.14,0.94,16.08,17.01,32621.99
Tata Steel,Energy,2023,906.58,354.62,12.29,0.66,24.59,25.58,31269.03
Tata Steel,Metals,2013,1630.84,71.15,16.56,0.8,20.27,16.76,33048.2
Tata Steel,IT,2019,1274.51,292.97,16.74,0.8,11.78,22.31,22699.52
Axis Bank,Automobile,2016,1394.96,215.16,13.41,0.66,12.03,30.06,39196.67
Axis Bank,Automobile,2015,1681.18,249.37,21.25,1.07,29.08,22.68,44252.43
ICICI,Energy,2015,1666.45,263.56,12.9,1.55,25.91,13.47,30797.01
Tata Steel,Energy,2016,1295.79,244.45,24.23,0.83,28.14,19.83,43988.95
Mahindra,Metals,2013,1092.65,135.12,16.91,1.01,22.01,16.94,36481.9
Reliance,Energy,2015,1686.64,177.1,14.7,0.96,9.87,23.52,32010.09
SBI,Metals,2012,1665.71,83.87,20.7,0.02,16.26,21.31,17573.23
SBI,Energy,2014,1414.51,176.12,18.17,0.95,21.78,18.02,28520.68
Axis Bank,Metals,2022,1632.58,225.8,21.8,0.93,29.36,20.56,41943.87
ICICI,Energy,2022,1366.25,248.57,7.99,0.43,7.51,17.76,25352.61
HDFC,Finance,2023,1251.89,231.31,20.58,0.26,1.89,8.82,30944.34
Wipro,Metals,2022,1501.19,59.59,15.4,0.93,39.49,6.43,17091.19
Wipro,Finance,2011,,155.03,18.19,1.29,30.98,26.12,34458.29
Axis Bank,Finance,2012,1592.78,147.02,17.56,0.69,16.24,27.19,35563.61
HDFC,Finance,2022,1652.75,95.19,24.73,0.7,22.65,21.31,58125.29
Axis Bank,Finance,2018,1271.83,133.13,8.7,1.49,20.79,26.6,32794.83
Wipro,IT,2015,1974.56,200.1,26.07,1.07,27.9,32.01,33622.97
HDFC,Automobile,2012,1397.29,313.1,21.53,0.44,19.93,16.84,28157.41
Tata Steel,IT,2011,1464.33,123.75,18.76,0.59,13.51,14.88,28962.86
ICICI,Energy,2014,1104.4,109.69,10.83,1.45,29.89,25.15,26383.12
SBI,Energy,2019,1441.84,152.04,9.64,0.6,43.14,29.78,46313.59
Mahindra,Automobile,2023,1659.67,227.0,15.2,0.64,30.3,15.29,23811.64
TCS,Automobile,2014,1728.75,297.9,21.18,1.0,25.75,30.32,43784.71
ICICI,Automobile,2010,1968.58,193.08,17.97,0.72,22.86,17.35,28957.06
Tata Steel,Finance,2012,1656.07,84.33,20.89,0.93,17.11,21.57,19957.52
Wipro,IT,2016,1583.07,101.35,10.68,0.89,20.92,17.46,23279.57
Tata Steel,Energy,2018,1366.11,215.06,18.22,0.76,28.92,21.75,21709.87
Axis Bank,IT,2014,1301.48,279.62,23.48,1.16,36.87,12.65,23586.83
HDFC,IT,2013,1791.07,345.26,25.26,0.42,37.32,27.2,15509.42
SBI,IT,2012,1785.32,105.41,11.73,0.84,26.7,8.55,21037.78
Reliance,Automobile,2019,1176.9,211.18,,0.63,26.87,13.46,248.66
Axis Bank,Automobile,2022,1716.93,117.61,16.3,1.29,25.52,29.08,31269.89
ICICI,Energy,2018,1695.12,128.11,14.87,0.75,30.71,35.84,23280.1
Axis Bank,Energy,2023,1165.86,121.34,22.54,1.38,25.48,16.3,27344.64
ICICI,Energy,2016,1662.14,173.26,32.36,0.67,25.64,30.74,20116.98
Reliance,IT,2021,1185.14,129.42,12.43,0.83,16.4,29.05,46305.66
Infosys,Automobile,2016,771.21,398.31,20.12,1.13,16.16,22.85,7405.99
SBI,Finance,2023,1451.97,163.23,19.48,0.51,18.09,16.64,41221.21
Mahindra,IT,2022,1577.34,279.02,19.58,1.25,27.4,29.82,11143.12
Mahindra,Metals,2017,1465.48,147.24,24.66,0.81,21.94,18.68,21083.36
TCS,IT,2019,2360.13,378.66,19.87,0.92,50.82,23.26,34382.73
Tata Steel,Automobile,2010,1613.66,227.13,7.32,0.96,28.88,4.87,53399.25
Infosys,Metals,2020,1544.14,266.95,10.82,0.78,40.71,17.18,39347.37
Mahindra,IT,2013,1628.88,152.71,12.67,0.56,39.85,15.73,-981.96
Axis Bank,Automobile,2022,1367.6,278.12,14.26,0.83,29.25,20.88,34172.6
Tata Steel,Automobile,2022,1778.84,226.79,17.3,0.2,24.59,17.8,20301.43
Infosys,Finance,2014,,169.68,16.93,0.41,16.01,16.44,58774.88
HDFC,IT,2014,1594.55,113.61,8.88,0.76,18.98,19.97,33726.54
HDFC,Automobile,2010,1312.76,181.0,9.96,1.26,33.4,14.58,41435.82
Tata Steel,Energy,2012,1030.7,174.15,7.41,1.26,27.7,8.41,19534.65
ICICI,Automobile,2011,1349.58,269.52,10.23,1.09,18.58,16.87,18797.67
ICICI,Finance,2021,1584.79,181.42,22.96,0.34,22.93,18.41,29404.48
Axis Bank,Automobile,2016,1366.59,46.28,16.65,0.89,28.29,25.25,20982.14
Infosys,IT,2022,1587.52,251.69,13.24,0.54,25.25,18.56,33946.81
Infosys,IT,2023,1430.29,303.45,8.41,0.78,22.62,22.73,24630.16
Tata Steel,Metals,2014,1629.17,66.71,12.94,1.09,24.45,14.94,29674.72
Wipro,IT,2012,1206.95,344.38,21.04,1.0,0.84,19.88,41619.01
HDFC,Metals,2020,1557.87,311.73,20.38,1.18,25.18,7.89,30377.04
Infosys,Energy,2017,1307.71,149.53,16.74,0.38,14.42,15.6,26785.22
Tata Steel,Finance,2010,1038.52,110.63,16.66,0.49,28.63,0.95,21491.44
Reliance,Energy,2010,1450.45,284.24,9.14,1.25,26.34,11.67,23684.87
TCS,Metals,2023,1960.9,90.43,14.12,1.26,32.48,11.09,38485.1
Reliance,Automobile,2015,1062.43,146.53,20.78,0.8,32.58,24.31,28340.24
SBI,Automobile,2010,1535.82,94.79,14.63,0.79,42.2,22.46,18498.97
Axis Bank,Energy,2013,1739.27,200.47,26.12,1.15,5.17,27.48,25217.18
Infosys,Automobile,2015,2190.01,,24.03,0.96,23.74,10.76,39960.32
SBI,Metals,2010,1352.12,229.99,15.73,0.98,4.6,25.75,26162.6
Mahindra,Finance,2022,1310.4,281.45,16.67,0.52,29.91,15.96,-836.73
SBI,IT,2018,1149.99,171.86,29.12,1.14,23.33,32.56,40860.07
Tata Steel,Metals,2013,1842.15,207.78,22.24,0.74,20.29,18.75,27056.76
Infosys,Metals,2018,1239.78,101.88,18.35,0.38,27.67,31.24,39531.51
TCS,IT,2018,1388.82,192.25,18.93,0.57,14.47,40.14,25095.08
Tata Steel,IT,2022,945.32,140.32,18.74,0.62,43.48,22.96,35751.33
Tata Steel,Finance,2015,1765.19,187.18,17.92,1.24,22.56,32.47,36867.23
Axis Bank,Finance,2022,1847.48,,12.65,0.59,25.77,17.68,21149.14
Axis Bank,Finance,2016,1753.73,174.84,15.99,0.92,23.71,29.18,14013.53
HDFC,Automobile,2022,1018.4,368.6,10.82,0.17,34.22,19.55,16260.12
HDFC,Metals,2010,1682.15,341.4,21.62,1.08,12.98,23.97,32439.97
ICICI,IT,2014,998.2,313.29,17.34,0.56,33.28,23.53,28174.94
Wipro,Metals,2012,1517.41,343.6,21.88,0.92,19.81,18.76,29762.47
Infosys,Metals,2019,1561.52,313.54,11.63,0.92,19.9,9.62,35123.74
Infosys,Finance,2019,1593.05,198.21,25.11,0.99,33.79,10.5,26111.48
SBI,Finance,2022,1660.39,190.01,24.49,0.9,22.32,28.12,24559.88
Infosys,Metals,2015,1497.59,218.83,10.13,1.37,31.14,21.31,20105.31
Infosys,Finance,2013,911.27,183.15,15.47,0.86,31.32,26.81,34488.75
Wipro,Automobile,2022,1660.54,116.8,16.01,1.47,21.51,16.49,50395.47
Mahindra,IT,2023,1529.28,223.73,10.81,0.99,27.33,17.57,23968.88
HDFC,Metals,2022,1229.21,74.71,16.7,0.88,20.16,17.5,35362.53
HDFC,IT,2018,1029.18,211.01,20.79,1.07,24.8,8.31,45841.83
TCS,Automobile,2016,1962.01,120.42,15.65,0.86,29.74,17.58,21886.31
Infosys,Finance,2023,1869.39,193.52,9.44,0.93,15.43,17.8,51060.13
Wipro,Energy,2013,1711.79,215.3,21.86,0.9,29.4,19.93,18824.29
HDFC,Automobile,2022,1297.11,171.77,14.04,0.87,28.18,18.24,36654.15
Wipro,Energy,2020,744.9,68.76,14.57,1.44,10.11,29.54,16670.5
Reliance,IT,2015,1729.4,104.96,26.41,1.48,17.54,15.93,36307.36
Mahindra,Metals,2011,1610.01,236.66,19.98,0.9,18.09,25.86,22125.3
Infosys,Finance,2023,1387.6,155.4,13.95,1.18,20.56,22.1,2333.95
TCS,Automobile,2012,,244.87,12.05,1.16,15.44,20.22,46738.37
SBI,Finance,2020,1754.4,200.78,22.83,1.13,34.39,25.26,32482.7
HDFC,Energy,2016,1552.83,184.17,22.49,0.96,35.61,17.63,23540.13
Reliance,Energy,2020,1510.52,227.81,15.47,1.0,17.12,16.33,27193.2
Wipro,Metals,2021,,146.01,11.7,0.97,13.46,17.47,27700.02
